Kategori Lowongan,Umur,Pendidikan,Title,Link,Gaji_Rata2,Kategori_Encoded,Pendidikan_Encoded
Customer Service,32.0,S1,Customer Service(Indonesian & Mandarin),https://id.jobstreet.com/id/job/85025517,13687500.0,14,5
Lainnya,32.0,S1,Services Manager,https://id.jobstreet.com/id/job/85090746,8750000.0,29,5
Production,32.0,S1,Production Supervisor (Apoteker),https://id.jobstreet.com/id/job/84942141,5250000.0,40,5
Sales,32.0,S1,Marketing / Sales Executive – Solvent,https://id.jobstreet.com/id/job/85090246,12500000.0,48,5
Lainnya,32.0,S1,Assistant Store Manager,https://id.jobstreet.com/id/job/85011868,7500000.0,29,5
Sales,32.0,S1,Sales Manager (Mandarin Speaker Only),https://id.jobstreet.com/id/job/85012599,16500000.0,48,5
Lainnya,32.0,S1,fisioterapis,https://id.jobstreet.com/id/job/85026034,6500000.0,29,5
Business Development,32.0,S1,Business Development – Agent & Distributor Acquisition,https://id.jobstreet.com/id/job/84942246,10000000.0,9,5
Lainnya,32.0,S1,Financial Advisor Bancassurance Bali,https://id.jobstreet.com/id/job/85039915,4250000.0,29,5
Sales,32.0,S1,Account Manager (Sales B2B / Corporate),https://id.jobstreet.com/id/job/85011343,6250000.0,48,5
Admin,32.0,S1,Translator Mandarin,https://id.jobstreet.com/id/job/85025621,8500000.0,1,5
Akuntan,32.0,SMK,Staff Akuntansi dan Pajak,https://id.jobstreet.com/id/job/84942853,4750000.0,2,10
Sales,32.0,S1,Sales & Marketing,https://id.jobstreet.com/id/job/85025674,6250000.0,48,5
Sales,32.0,S1,Account Manager,https://id.jobstreet.com/id/job/85011100,11000000.0,48,5
Legal,32.0,S1,Legal Staff,https://id.jobstreet.com/id/job/84956136,6200000.0,30,5
Lainnya,32.0,S1,Process Engineer,https://id.jobstreet.com/id/job/84943032,7400000.0,29,5
Sales,32.0,S1,SALES TOKO,https://id.jobstreet.com/id/job/84839078,5400000.0,48,5
Sales,32.0,S1,Coordinator Sales Control,https://id.jobstreet.com/id/job/84942479,7000000.0,48,5
Sales,32.0,S1,Host Live Streaming (Full Time) - SPG Experience (Sales/Usher),https://id.jobstreet.com/id/job/85090580,6448380.0,48,5
Quality Control,32.0,S1,development and quality control staff,https://id.jobstreet.com/id/job/85026098,4150000.0,45,5
Database,32.0,S1,Digital Marketing Manager,https://id.jobstreet.com/id/job/85090798,18500000.0,16,5
Nutritionist,32.0,S1,"HEALTH, SAFETY, AND ENVIRONMENTAL (HSE) MANAGER",https://id.jobstreet.com/id/job/85026186,25000000.0,36,5
Lainnya,32.0,S1,Supervisi Lapangan (Project),https://id.jobstreet.com/id/job/85026416,7000000.0,29,5
Sales,32.0,S1,Pramuniaga/Sales Assistant (Manado),https://id.jobstreet.com/id/job/84811778,5500000.0,48,5
Legal,32.0,S1,Staf Legal,https://id.jobstreet.com/id/job/85011088,4800000.0,30,5
Sales,32.0,S1,Retail Sales Assistant,https://id.jobstreet.com/id/job/85025700,5400000.0,48,5
Lainnya,32.0,S1,Marketing,https://id.jobstreet.com/id/job/84535391,3750000.0,29,5
Chef,32.0,S1,Marketing Chef,https://id.jobstreet.com/id/job/85090998,6750000.0,10,5
Education,32.0,S1,Teacher Mandarin,https://id.jobstreet.com/id/job/84956373,8500000.0,18,5
Consultant,32.0,S1,Sales Consultant (Mazda Simprug),https://id.jobstreet.com/id/job/84233108,4500000.0,12,5
Interior Designer,32.0,S1,Interior Designer Gading Serpong,https://id.jobstreet.com/id/job/84378124,5500000.0,26,5
Lainnya,32.0,S1,SENIOR FIELD COLLECTION AREA BANYUWANGI (JAWA TIMUR),https://id.jobstreet.com/id/job/85025747,6250000.0,29,5
Management,32.0,S1,Finance,https://id.jobstreet.com/id/job/84942178,5000000.0,33,5
Finance,32.0,S1,Accounts & Finance Executive / Senior Accounts & Finance Executive,https://id.jobstreet.com/id/job/85026023,6750000.0,20,5
Public Relations,32.0,S1,Public Relations Assistant Manager (Mandarin Speaker),https://id.jobstreet.com/id/job/85090540,17500000.0,42,5
Sales,32.0,S1,Sales Asisten Real Estate,https://id.jobstreet.com/id/job/84942606,4250000.0,48,5
Consultant,32.0,S1,Bancassurance Consultant (Sumedang),https://id.jobstreet.com/id/job/84811191,5000000.0,12,5
Sales,32.0,S1,Sales Manager,https://id.jobstreet.com/id/job/84404239,9000000.0,48,5
Sales,32.0,S1,Sales & Product Strategy Senior Supervisor - Heavy Equipment (B-120402),https://id.jobstreet.com/id/job/85012868,40000000.0,48,5
Sales,32.0,S1,Sales Representative Java Area - Heavy Equipment (B-120404),https://id.jobstreet.com/id/job/85012476,22500000.0,48,5
Management,32.0,S1,Office Management Support,https://id.jobstreet.com/id/job/85489866,4750000.0,33,5
Admin,32.0,S1,Admin Asistant,https://id.jobstreet.com/id/job/85119649,5500000.0,1,5
Logistik,32.0,S1,Logistik Staff,https://id.jobstreet.com/id/job/85621619,7000000.0,31,5
Finance,32.0,S1,Finance Admin,https://id.jobstreet.com/id/job/85667621,5000000.0,20,5
Logistik,32.0,S1,Staff Admin Seafreight,https://id.jobstreet.com/id/job/85123277,5000000.0,31,5
Admin,32.0,S1,STAF ADMINISTRASI SAMARINDA,https://id.jobstreet.com/id/job/85563412,3250000.0,1,5
Lainnya,32.0,S1,Junior Accounting Staff,https://id.jobstreet.com/id/job/84911478,5000000.0,29,5
Admin,32.0,S1,Admin,https://id.jobstreet.com/id/job/85540647,3250000.0,1,5
Bidan,32.0,S1,Staff Administrasi Gudang,https://id.jobstreet.com/id/job/85487797,3100000.0,7,5
Purchasing,32.0,S1,Administrasi Purchasing,https://id.jobstreet.com/id/job/85581197,5000000.0,43,5
Admin,32.0,S1,General Admin,https://id.jobstreet.com/id/job/85037645,3800000.0,1,5
Customer Service,32.0,S1,Customer Service,https://id.jobstreet.com/id/job/84877046,4125000.0,14,5
Lainnya,32.0,S1,Accounting Staff,https://id.jobstreet.com/id/job/85151177,7500000.0,29,5
Lainnya,32.0,S1,Staff Keuangan,https://id.jobstreet.com/id/job/85491701,5109631.5,29,5
Finance,32.0,S1,FINANCE STAFF,https://id.jobstreet.com/id/job/85270868,5500000.0,20,5
Admin,32.0,S1,Marketplace Administrator,https://id.jobstreet.com/id/job/85678322,5150000.0,1,5
Lainnya,32.0,S1,Accounting Staff,https://id.jobstreet.com/id/job/85671185,5000000.0,29,5
Lainnya,32.0,S1,Staff Perpajakan,https://id.jobstreet.com/id/job/85471223,4800000.0,29,5
Lainnya,32.0,S1,Public Relation,https://id.jobstreet.com/id/job/85538457,4000000.0,29,5
