Kategori_Lowongan,Pekerjaan Lowongan,Title,Posisi,Gaji,Gaji Min,Gaji Max,Kualifikasi,Tahun Pengalaman,Umur,Pendidikan,Skill,Link
Customer Service,Customer Service,Customer Service(Indonesian & Mandarin),Customer Service(Indonesian & Mandarin),"Rp 12,775,000 – Rp 14,600,000 per month",12775000,14600000,Exceptional customer service in a dynamic team. Fluency in Indonesian and Mandarin required. Competitive salary and benefits.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85025517
Lainnya,Lainnya,SHOWROOM MANAGER,SHOWROOM MANAGER,Tidak dicantumkan,N/A,N/A,"Lead a talented showroom team and provide exceptional customer experiences. Competitive salary, benefits, and career growth.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85012853
Lainnya,Lainnya,Services Manager,Services Manager,Rp 7.500.000 – Rp 10.000.000 per month,7500000,10000000,"Develop comprehensive project plans outlining objectives, deliverables, timelines, resources, and budgets.Setup Timeline and Team,Monitoring Progress",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85090746
Lainnya,Lainnya,MARKETING IN HOUSE,MARKETING IN HOUSE,Tidak dicantumkan,N/A,N/A,MARKETING IN HOUSE,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85026205
Admin,Admin,Admin Project (Interior Contractor),Admin Project (Interior Contractor),Tidak dicantumkan,N/A,N/A,"Melakukan proses administrasi di project yang mencakup progress, dll.
Mempersiapkan kebutuhan meeting di project.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84654023
Lainnya,Lainnya,Accounting Supervisor,Accounting Supervisor,Tidak dicantumkan,N/A,N/A,Jadi Accounting Supervisor di perusahaan manufaktur terkemuka. Tunjangan kompetitif dan lingkungan kerja yang mendukung.,N/A,N/A,N/A,accounting,https://id.jobstreet.com/id/job/84942408
Production,Production,Production Supervisor (Apoteker),Production Supervisor (Apoteker),Rp 4.500.000 – Rp 6.000.000 per month,4500000,6000000,Contribute to pharmaceutical manufacturing as a Production Supervisor (Apoteker) with professional development opportunities.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84942141
Project Manager,Project Manager,PROJECT MANAGER - KONTRAKTOR INTERIOR/DESIGN INTERIOR & BUILD,PROJECT MANAGER - KONTRAKTOR INTERIOR/DESIGN INTERIOR & BUILD,Tidak dicantumkan,N/A,N/A,"Deskripsi Pekerjaan Melakukan Check Site Condition dan membuat laporan hasilnya. Mempelajari data / dokumen berupa Bill of Quantity, Gambar For...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84365275
Sales,Sales,Sales Promoter Team Leader - Kendari,Sales Promoter Team Leader - Kendari,Tidak dicantumkan,N/A,N/A,-,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85090024
Sales,Sales,Marketing / Sales Executive – Solvent,Marketing / Sales Executive – Solvent,Rp 10.000.000 – Rp 15.000.000 per month,10000000,15000000,"Experience a minimum of 1 year as a sale.
Experience in Solvent and Chemicals industry would be an advantage.",1,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85090246
